Exercise_Name,Start_Date,End_Date,Type,Unit_Level,Details
Standup,2022-07-01,2023-09-30,Status,Battalion, unit works to get to IOC by end of FY22
IOC,2023-10-01,2024-09-30,Status,Battalion,Unit works to get to FOC by end of FY23
FOC,2024-10-01,2025-09-30,Status,Battalion,Unit reaches full operational capability and deters enemy actions
ITX 1-22,2022-09-15,2022-11-15,Exercise,Regiment, Reg Executes ITX 1-22 with other units
MC Ramadan,2022-11-10,2023-01-04,Status,Service,When nothing gets done in the Marine Corps
ITX 1-21,2021-09-15,2021-11-15,Exercise,Regiment,Example to demonstrating scoping is only showing what is desired
ITX 1-26,2025-09-15,2025-11-15,Exercise,Regiment,Example to demonstrating scoping not showing past events
3/3 BV 1,2022-08-16,2022-08-30,BV,Battalion,3/3 Executes BV 1
1/3 BV 3 ,2022-11-11,2022-12-11,BV,Battalion,1/3 does BV 3 notional
3/3 BV 2,2022-10-10,2022-11-25,BV,Battalion,3/3 Executes BV 2
